age;gender;edu;marry;job;income;people;peoplew;cereal;tubers;legumes;vegetables;fruits;fish;eggs;dairy;fats;sweets;know;consider;paymore;fsi;dr
24;0;14;0;1;2500;4;1;7;1;7;5;3;7;4;3;7;5;2;2;2;61;0,750
52;1;16;1;1;4500;2;2;2;7;3;7;1;7;0;7;7;7;3;3;5;66;0,000
51;1;12;1;1;1500;4;1;7;3;7;7;3;5;2;3;5;7;2;3;5;63;0,750
39;1;16;0;1;1500;2;2;1;1;2;0;1;2;1;5;2;4;4;2;2;41;0,000
40;1;16;1;1;6500;7;2;7;1;7;7;7;4;7;7;7;7;4;4;5;84;0,714
50;1;12;1;0;1500;4;3;7;0;7;7;7;0;3;7;7;7;3;5;3;84;0,250
28;1;16;1;1;1500;4;0;7;4;3;7;7;7;2;7;7;1;3;1;2;69;1,000
31;1;16;0;1;1500;4;2;7;4;7;2;5;3;0;7;7;7;2;1;3;77;0,500
20;1;12;0;1;1500;5;3;0;3;7;4;6;6;5;4;7;5;4;2;1;66;0,400
35;0;12;0;1;1500;5;2;5;2;3;3;2;3;6;4;6;2;2;2;3;48;0,600
46;0;14;1;1;6500;4;3;7;7;7;7;7;7;5;3;3;2;1;1;3;63,5;0,250
34;1;16;1;1;10000;3;2;7;2;3;4;7;7;2;7;7;7;3;1;1;69;0,333
33;1;12;0;1;1500;4;2;5;0;1;2;1;1;3;2;4;1;2;3;2;30,5;0,500
68;1;12;0;0;1500;5;3;7;6;7;4;4;7;3;3;7;7;2;2;3;62;0,400
25;1;14;0;1;6500;3;4;7;3;2;4;2;2;6;4;7;7;1;1;3;49;-0,333
65;0;12;1;1;4500;2;3;7;4;3;3;3;3;5;4;5;2;5;3;5;48,5;-0,500
40;1;16;1;1;2500;3;2;7;4;7;5;1;7;3;2;7;5;3;1;3;55;0,333
34;1;12;1;1;4500;3;1;7;4;5;5;2;5;7;7;6;6;1;3;3;70;0,667
48;1;12;1;1;2500;3;2;3;3;4;3;6;6;2;3;2;2;3;2;3;49;0,333
48;0;12;1;1;8000;4;2;7;2;7;5;3;5;2;2;3;3;2;2;3;54;0,500
32;1;14;0;1;2500;1;4;5;3;3;3;3;7;7;7;7;2;4;5;5;61,5;-3,000
53;0;12;1;1;4500;5;0;7;5;7;6;7;7;7;7;7;0;3;5;1;79,5;1,000
44;1;12;0;1;2500;3;3;3;0;7;7;4;1;4;7;3;7;1;1;1;78;0,000
43;0;14;0;1;6500;2;2;7;5;7;4;2;7;5;4;7;7;2;1;3;64;0,000
36;1;22;1;1;8000;3;2;7;3;3;5;3;7;0;4;5;5;4;3;5;52;0,333
40;1;16;1;0;2500;2;2;7;2;7;7;4;7;5;0;7;7;3;2;1;53;0,000
41;1;16;0;1;4500;1;1;5;2;2;1;2;7;1;3;6;5;4;2;5;40,5;0,000
35;1;16;0;1;2500;1;1;4;2;4;3;5;7;5;4;5;7;3;2;3;56;0,000
44;0;12;1;1;4500;3;1;7;7;7;7;7;7;7;7;7;7;1;1;1;84;0,667
31;1;12;1;0;1500;2;1;7;0;7;7;3;4;5;4;7;7;4;3;3;68;0,500
55;1;16;0;1;2500;1;1;7;4;5;5;2;4;2;2;4;7;1;1;3;49,5;0,000
40;1;12;1;1;2500;4;1;7;7;7;5;6;7;7;6;7;7;3;5;3;77;0,750
40;1;12;0;0;1500;2;2;6;1;5;0;1;3;0;4;2;5;1;1;3;49,5;0,000
44;1;9;1;1;2500;3;1;7;2;2;3;3;7;1;7;7;7;1;4;5;61;0,667
45;1;16;0;1;2500;1;2;7;2;4;1;7;0;5;7;7;7;1;5;2;69;-1,000
37;1;22;1;1;2500;3;0;7;6;5;6;6;7;5;6;7;6;3;1;2;71,5;1,000
39;1;14;1;1;2500;4;2;7;2;5;2;5;6;5;4;6;5;3;1;1;57,5;0,500
58;1;16;0;1;2500;1;2;3;2;4;6;6;6;6;7;6;7;4;3;3;72,5;-1,000
