IBGE;MUNIC;UF;REG;CAP;AMZ;SEMIAR;IPS25;POP;PIB21;PIBPC21;IVCM;CADPBF;CADPES;CADPBFPERC;RENDATOT;RENDAHOM;RENDAMUL;AREAFLOR;AREANFLOR ;AREAAGRO;AREANVEG;AREAAGUA;AREANAOBSV
2512002;Pocinhos;PB;Nordeste;Não;0;1;58,49192105;18038;284640;16412,95277;50,63;249504;587181;42,49183812;1389,99;1334,84;1512,78;22131,11011;170,723622;38950,60069;1098,500708;46,322094;
2512036;Poço Dantas;PB;Nordeste;Não;0;1;59,4428952;3934;40230;10580,59504;51,97;47982;135840;35,32243816;1611,4;1654,57;1555,08;6838,254778;;2842,081608;59,80021899;34,91997676;
2512077;Poço de José de Moura;PB;Nordeste;Não;0;1;63,2141012;4126;46792;11765,74678;46,91;40977;121232;33,80048172;1536,99;1656,54;1396,38;2921,841037;1,865104175;6395,566446;100,8142356;44,32516052;
2512101;Pombal;PB;Nordeste;Não;0;1;62,20896154;33866;465068;14426,23091;42,12;327136;868547;37,66474353;1682,28;1771,82;1553,13;58662,2039;62,32823793;28810,25542;804,1226341;1072,918929;
2512200;Prata;PB;Nordeste;Não;0;1;59,89879107;4032;64688;16643,73497;48,35;51308;135780;37,78759758;1228,53;1138,67;1367,25;14106,48649;24,27684573;5906,051615;129,9951907;13,55922025;
2512309;Princesa Isabel;PB;Nordeste;Não;0;1;59,36017298;21674;266345;12706,70259;42,57;228687;586609;38,98457064;1686,45;1610,27;1808,44;26093,81449;23,57296791;10174,39865;384,8999125;180,6071904;
2512408;Puxinanã;PB;Nordeste;Não;0;1;56,67557883;14942;137837;9724,956931;48,46;160380;440994;36,36784174;1336,39;1358,26;1293,13;712,5854608;21,82678583;5669,82352;699,3848726;7,896249841;
2512507;Queimadas;PB;Nordeste;Não;0;1;59,9183639;50698;605759;12803,32873;35,66;525338;1372496;38,27610427;1329,92;1383,16;1234,62;14503,92627;0,620778479;24642,80473;965,6846768;162,8077954;
2512606;Quixaba;PB;Nordeste;Não;0;1;58,30718867;1803;26746;15456,8249;49,37;23883;60950;39,18457752;1490,3;1291,06;1974,81;10648,53627;13,66702046;3927,650368;76,67467303;47,65590681;
2512705;Remígio;PB;Nordeste;Não;0;1;61,16906587;18399;181360;10214,36556;44,89;248955;598509;41,59586573;1568,35;1582,17;1546,83;5515,120578;0,710107471;12478,61369;318,4530401;32,75205961;
2512721;Pedro Régis;PB;Nordeste;Não;0;0;58,3461352;5932;57186;9990,193861;49,92;76770;173328;44,29174744;1256,98;1360,02;1054,38;931,0834933;;6359,937713;95,29623498;34,27877917;
2512747;Riachão;PB;Nordeste;Não;0;1;60,19639799;2945;36492;12558,38456;52,13;32865;97538;33,69456007;1241,18;1236,01;1248,18;1591,117515;;6860,962675;72,04176158;4,175080499;
2512754;Riachão do Bacamarte;PB;Nordeste;Não;0;1;57,27324687;4911;50101;10760,49836;55,76;64989;166740;38,97625045;1237,33;1283,99;1148,63;1489,077684;;2466,308635;69,36503582;2,394990698;
2512762;Riachão do Poço;PB;Nordeste;Não;0;1;57,93876982;4989;56187;11945,37043;51,11;64695;162539;39,80275503;1263,06;1168,82;1452,99;402,709678;0;3477,541479;108,0578773;58,02292996;
2512788;Riacho de Santo Antônio;PB;Nordeste;Não;0;1;55,73773554;2063;30562;15746,85555;47,88;29856;78037;38,25877468;1454,96;1519,84;1375,72;4787,353615;3,633473151;4482,608056;78,33586364;13,11488094;
2512804;Riacho dos Cavalos;PB;Nordeste;Não;0;1;56,7065506;8788;92585;10980,91022;52,57;125825;295905;42,52209324;1068,97;1133,68;960,37;14471,59631;13,41541437;11208,11832;116,4808354;442,7899339;
2512903;Rio Tinto;PB;Nordeste;Não;0;0;56,6655753;25500;321971;13193,98675;48,79;315733;748588;42,17713883;1599,98;1631,53;1545,69;12733,82015;1072,603201;31377,51824;735,2553874;569,1203134;
2513000;Salgadinho;PB;Nordeste;Não;0;1;57,72776064;3435;33444;10041,17472;45,73;43221;99989;43,22575483;1415,21;1329,73;1620,81;11744,7105;50,39652016;5915,295675;163,6211097;26,08705673;
