IBGE;MUNIC;NHB1114;NHB1115;NHB1116;NHB1117;NHB1118;NHB1119;NHB1120;NHB1121;NHB1122;NHB1123;NHB1214;NHB1215;NHB1216;NHB1217;NHB1218;NHB1219;NHB1220;NHB1221;NHB1222;NHB1223;NHB1314;NHB1315;NHB1316;NHB1317;NHB1318;NHB1319;NHB1320;NHB1321;NHB1322;NHB1323;NHB1414;NHB1415;NHB1416;NHB1417;NHB1418;NHB1419;NHB1420;NHB1421;NHB1422;NHB1423;NHB1514;NHB1515;NHB1516;NHB1517;NHB1518;NHB1519;NHB1520;NHB1521;NHB1522;NHB1523;NHB1524
2105906;Lago Verde;6,78;4,17;19,01;18,32;7,04;14,65;12,50;4,35;13,57;31,96;0,00;0,00;32,79;0,00;0,00;33,90;41,67;76,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,77;0,00;6,77;0,00;13,54;6,77;27,08;40,63;20,31;27,08;6,77;0,00;13,54;20,31;5,38;6,24;6,01;5,74;4,78;4,56;4,67;4,83;4,80;5,87;4,93
2105948;Lago dos Rodrigues;7,63;7,52;7,69;24,00;13,61;28,30;22,73;20,00;0,00;9,35;0,00;0,00;0,00;0,00;129,03;0,00;0,00;76,92;0,00;0,00;0,00;11,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,42;0,00;11,42;11,42;22,84;11,42;0,00;11,42;0,00;0,00;3,94;2,73;3,18;2,89;2,65;3,55;2,36;4,39;4,19;3,72;4,27
2105963;Lagoa Grande do Maranhão;10,99;4,98;24,88;26,04;8,47;22,73;4,88;30,17;29,29;4,03;51,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40,32;0,00;0,00;0,00;0,00;0,00;8,76;0,00;8,76;0,00;8,76;0,00;0,00;35,05;8,76;17,53;26,29;0,00;0,00;0,00;8,76;4,10;4,79;4,57;4,17;3,93;3,87;4,19;3,04;4,15;3,84;3,07
2105989;Lajeado Novo;38,10;0,00;30,30;22,73;10,64;29,41;10,53;42,37;10,64;9,80;0,00;0,00;0,00;86,21;0,00;0,00;0,00;0,00;0,00;98,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,33;0,00;14,16;0,00;14,16;14,16;14,16;0,00;3,88;3,98;4,92;3,28;2,58;3,47;4,58;3,75;4,29;3,99;3,83
2106003;Lima Campos;0,00;15,71;8,85;10,81;29,85;10,47;11,63;5,41;16,57;17,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,70;17,70;8,85;0,00;0,00;0,00;8,85;8,85;8,85;8,85;0,00;35,41;8,85;8,85;8,85;17,70;35,41;17,70;17,70;8,85;4,11;3,14;3,38;3,82;3,05;3,37;0,67;3,25;3,58;3,18;2,25
2106102;Loreto;12,50;22,35;30,30;30,30;18,18;13,61;6,76;13,61;21,13;14,18;0,00;0,00;0,00;0,00;0,00;62,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,63;0,00;0,00;0,00;0,00;0,00;8,63;8,63;0,00;0,00;0,00;8,63;8,63;0,00;3,77;3,34;4,75;4,75;4,36;3,51;3,34;3,79;4,23;6,14;3,51
2106201;Luís Domingues;0,00;16,53;0,00;7,69;20,55;8,33;30,30;18,02;9,90;29,13;0,00;105,26;0,00;0,00;86,21;0,00;82,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,96;0,00;0,00;13,96;0,00;27,93;0,00;0,00;27,93;27,93;13,96;41,89;4,45;4,37;5,40;4,43;3,85;4,13;3,74;3,83;3,69;3,63;3,17
2106326;Maracaçumé;13,55;12,79;26,79;18,77;5,52;31,66;5,57;19,07;22,60;14,29;0,00;0,00;0,00;0,00;27,55;27,10;0,00;0,00;0,00;0,00;0,00;4,73;0,00;0,00;4,73;0,00;0,00;0,00;0,00;4,73;23,64;18,91;9,46;14,19;18,91;18,91;14,19;14,19;4,73;14,19;4,48;4,00;5,26;4,29;4,92;5,43;6,08;5,47;6,32;6,02;4,61
2106359;Marajá do Sena;61,95;0,00;9,90;11,36;22,47;0,00;18,69;20,20;28,57;34,48;0,00;0,00;0,00;0,00;72,99;88,50;83,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,22;0,00;0,00;14,22;28,43;0,00;14,22;0,00;14,22;28,43;10,30;3,12;11,31;3,14;3,05;3,51;2,27;2,10;4,88;5,88;6,59
2106375;Maranhãozinho;9,85;24,63;27,32;14,29;15,54;20,83;10,64;17,05;11,17;18,26;0,00;0,00;0,00;50,51;0,00;0,00;49,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,53;7,27;7,27;7,27;14,53;7,27;0,00;29,07;0,00;14,53;4,69;4,01;4,57;4,23;3,79;3,87;3,43;5,75;6,65;4,17;3,78
2106508;Matinha;19,95;12,56;10,47;18,57;27,09;11,73;22,41;16,53;10,03;13,47;0,00;0,00;22,42;0,00;24,88;24,94;0,00;0,00;0,00;0,00;0,00;0,00;4,54;4,54;0,00;0,00;0,00;0,00;4,54;4,54;0,00;4,54;13,62;18,15;18,15;13,62;9,08;0,00;9,08;0,00;5,17;5,11;6,46;5,36;4,07;4,32;4,14;5,44;4,46;3,87;3,17
2106631;Matões do Norte;0,00;8,77;17,24;17,86;8,26;8,33;20,69;41,67;31,58;44,44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,74;0,00;0,00;0,00;0,00;11,47;5,74;5,74;0,00;11,47;11,47;5,74;17,21;17,21;0,00;7,03;5,95;4,66;5,62;4,51;5,38;5,97;4,67;5,92;6,37;4,47
2106706;Mirador;10,93;18,24;9,49;9,17;17,99;27,78;10,17;12,20;41,27;26,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,67;0,00;0,00;0,00;4,76;0,00;0,00;0,00;0,00;0,00;0,00;9,51;9,51;0,00;4,76;4,76;9,51;4,76;0,00;14,27;9,51;17,58;7,73;12,07;6,32;4,51;5,39;5,40;6,98;5,92;5,58;5,01
2106755;Miranda do Norte;21,41;23,46;9,93;8,40;14,79;8,82;11,41;6,21;28,46;25,83;0,00;0,00;0,00;31,95;32,26;0,00;0,00;33,11;0,00;36,90;0,00;0,00;4,19;4,19;0,00;4,19;0,00;0,00;8,38;0,00;16,76;16,76;33,52;16,76;16,76;20,95;8,38;0,00;8,38;25,14;4,35;4,14;4,43;4,34;4,56;4,61;4,75;4,18;4,68;4,74;4,07
2106805;Mirinzal;15,23;8,51;8,70;12,99;14,44;22,90;4,48;12,71;35,90;15,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;43,48;0,00;0,00;0,00;0,00;7,15;0,00;7,15;7,15;0,00;0,00;0,00;0,00;0,00;7,15;14,31;0,00;0,00;7,15;21,46;7,15;0,00;14,31;4,97;3,75;5,45;3,97;4,21;4,07;3,72;4,05;4,69;4,20;3,67
