IBGE;MUNIC;OP4114;OP4115;OP4116;OP4117;OP4118;OP4119;OP4120;OP4121;OP4122;OP4123;OP4124;OP4214;OP4215;OP4216;OP4217;OP4218;OP4219;OP4220;OP4221;OP4222;OP4223;OP4224
2104057;Estreito;29,88;35,35;33,22;39,41;43,21;47,43;36,60;40,40;46,75;;;43,40;51,77;49,09;57,77;63,04;68,72;53,32;57,87;67,27;;
2104073;Feira Nova do Maranhão;36,60;37,47;36,60;32,90;33,99;33,33;32,24;86,93;34,86;;;56,42;58,26;55,96;50,92;53,67;52,29;49,08;122,94;53,67;;
2104081;Fernando Falcão;1,92;2,11;2,11;4,41;4,41;3,84;7,87;31,66;32,43;;;3,24;3,64;4,05;8,50;8,09;6,88;12,54;8,09;8,90;;
2104099;Formosa da Serra Negra;38,86;38,25;42,17;43,07;40,56;39,96;39,56;40,86;63,45;;;55,37;53,02;59,84;61,54;58,35;57,71;56,22;58,56;93,70;;
2104107;Fortaleza dos Nogueiras;20,06;20,20;18,55;18,41;21,57;24,46;23,64;27,35;31,61;;;34,01;33,16;32,32;32,32;37,38;37,66;34,85;38,50;45,53;;
2104206;Fortuna;28,12;27,60;28,02;29,06;31,16;30,74;29,27;29,69;31,05;;;44,87;45,69;45,69;48,57;51,04;50,01;47,33;46,92;48,57;;
2104305;Godofredo Viana;19,82;6,03;26,55;38,61;42,23;42,23;52,40;63,61;70,68;;;14,86;1,45;34,07;48,93;46,76;47,84;57,63;71,04;82,64;;
2104404;Gonçalves Dias;23,83;24,63;24,63;25,33;25,92;25,33;24,13;25,63;41,58;;;35,15;36,92;37,12;37,12;38,69;38,30;36,33;37,51;62,25;;
2104503;Governador Archer;0,84;1,00;1,00;22,72;25,23;24,39;28,91;24,39;25,56;;;0,33;0,33;0,33;30,54;32,18;32,51;39,41;32,51;34,48;;
2104552;Governador Edison Lobão;0,86;17,54;15,54;28,12;30,02;31,55;31,83;39,94;44,03;;;0,57;23,39;20,35;33,09;39,17;43,35;44,88;54,19;61,42;;
2104602;Governador Eugênio Barros;5,36;5,36;5,36;5,98;30,53;29,53;29,03;28,54;28,66;;;7,40;7,15;7,15;7,40;48,84;48,10;47,85;47,11;46,87;;
2104628;Governador Luiz Rocha;57,17;58,88;0,49;56,44;62,30;58,88;58,64;61,81;62,06;;;76,73;78,70;0,98;78,70;86,57;83,62;82,14;87,06;87,06;;
2104651;Governador Newton Bello;0,00;0,00;0,53;2,30;3,36;4,42;4,24;5,30;22,26;;;0,00;0,00;0,36;3,23;4,30;6,10;5,74;7,17;32,63;;
2104677;Governador Nunes Freire;27,10;29,45;32,13;29,37;30,35;30,67;29,70;37,57;40,00;;;40,35;42,77;46,30;43,57;45,02;44,86;43,25;51,93;55,95;;
2104701;Graça Aranha;23,87;24,69;24,42;25,24;10,43;1,10;0,82;1,10;1,37;;;38,59;39,66;40,19;40,73;13,93;1,07;0,54;1,61;1,61;;
2104800;Grajaú;31,50;33,91;35,16;36,29;38,63;38,37;35,14;39,58;39,81;;;44,34;46,39;48,60;50,71;52,81;52,14;48,96;53,58;53,58;;
2104909;Guimarães;3,28;2,98;0,30;33,56;34,46;33,26;28,64;31,77;39,38;;;4,39;4,10;0,29;46,53;47,41;46,53;39,22;43,61;53,85;;
2105104;Icatu;7,88;9,35;26,50;25,32;43,65;33,93;32,83;25,76;50,35;;;12,28;13,50;42,46;40,79;65,97;52,32;50,80;40,64;77,19;;
2105153;Igarapé do Meio;23,36;24,43;1,07;19,33;22,28;19,33;18,79;18,26;4,97;;;31,77;33,85;1,82;22,92;26,56;22,92;25,00;21,35;6,51;;
2105203;Igarapé Grande;3,51;3,67;3,35;5,58;22,48;21,53;21,05;25,99;25,51;;;4,35;5,60;4,98;7,77;31,72;30,47;29,85;36,69;36,38;;
2105302;Imperatriz;47,61;42,04;44,49;52,40;59,99;59,34;61,34;63,70;71,31;;;61,27;51,65;57,38;66,66;75,44;75,70;77,41;78,89;89,15;;
2105351;Itaipava do Grajaú;5,66;15,57;16,14;16,85;18,26;17,41;17,27;30,86;40,06;;;7,28;26,20;25,33;27,07;29,11;28,53;26,49;42,79;52,40;;
2105401;Itapecuru Mirim;25,50;26,20;25,11;33,96;38,77;28,89;31,81;38,24;40,31;;;38,39;39,46;37,82;50,05;58,94;43,31;45,69;53,16;56,67;;
2105427;Itinga do Maranhão;30,50;31,47;31,18;33,87;35,00;34,47;34,32;44,51;38,74;;;44,08;44,67;43,93;47,34;48,23;47,05;47,64;61,44;53,43;;
2105450;Jatobá;48,04;48,51;48,04;47,09;48,75;46,85;44,95;0,95;50,18;;;77,69;76,74;76,26;74,36;75,79;74,36;71,97;0,48;78,17;;
2105476;Jenipapo dos Vieiras;23,59;23,72;24,23;24,10;24,48;27,65;24,86;28,16;0,51;;;40,49;40,49;41,81;42,07;42,34;49,48;42,60;48,95;0,53;;
2105500;João Lisboa;19,73;21,42;21,35;21,35;19,73;18,75;18,47;20,79;39,05;;;27,85;30,70;30,29;30,56;27,98;26,76;26,22;29,75;55,96;;
2105609;Joselândia;51,81;0,35;0,47;29,12;44,68;44,91;44,68;21,75;22,46;;;64,62;0,00;0,00;41,68;59,24;59,70;59,00;30,67;32,31;;
2105658;Junco do Maranhão;34,60;0,71;39,90;14,83;37,08;76,62;79,80;87,57;79,80;;;55,98;0,70;61,58;23,09;56,68;119,66;124,56;140,66;127,36;;
2105708;Lago da Pedra;26,07;25,40;30,32;33,20;34,62;34,18;35,40;36,19;35,33;;;32,93;32,47;38,96;42,86;44,46;44,24;46,37;47,75;46,83;;
