IBGE;MUNIC;NHB41A14;NHB41A15;NHB41A16;NHB41A17;NHB41A18;NHB41A19;NHB41A20;NHB41A21;NHB41A22;NHB41A23;NHB42A14;NHB42A15;NHB42A16;NHB42A17;NHB42A18;NHB42A19;NHB42A20;NHB42A21;NHB42A22;NHB42A23;NHB4314;NHB4315;NHB4316;NHB4317;NHB4318;NHB4319;NHB4320;NHB4321;NHB4322;NHB4323
1503606;Itaituba;99,60;58,59;120,11;67,38;76,17;82,03;73,24;79,10;102,53;76,17;72,15;67,04;87,32;75,11;67,26;83,95;65,09;61,06;73,80;60,01;35,68;38,93;31,63;40,55;31,63;29,19;38,11;48,66;61,63;60,01
1503705;Itupiranga;61,58;123,15;107,76;38,49;69,27;53,88;30,79;61,58;76,97;7,70;59,91;56,01;54,05;32,80;35,73;22,53;16,87;22,46;42,21;12,06;16,08;22,11;18,09;12,06;8,04;16,08;12,06;14,07;14,07;8,04
1503804;Jacundá;88,71;66,53;144,16;55,44;44,36;133,07;44,36;44,36;33,27;33,27;28,98;30,35;40,51;24,34;18,82;37,19;25,07;23,13;26,52;18,56;29,17;29,17;26,52;15,91;15,91;13,26;13,26;10,61;15,91;13,26
1503903;Juruti;0,00;7,11;42,64;14,21;21,32;21,32;7,11;7,11;42,64;28,43;1,90;7,41;10,87;7,10;8,79;8,63;5,09;6,67;19,65;17,69;5,90;9,83;13,76;3,93;9,83;5,90;7,86;17,69;9,83;13,76
1504000;Limoeiro do Ajuru;0,00;0,00;11,29;0,00;11,29;0,00;0,00;33,86;11,29;0,00;3,71;0,00;3,60;10,66;10,50;0,00;0,00;10,13;6,76;0,00;6,76;0,00;0,00;10,15;0,00;0,00;0,00;0,00;3,38;3,38
1504059;Mãe do Rio;10,75;10,75;32,24;64,48;139,71;64,48;118,22;150,46;171,95;75,23;6,94;13,81;24,05;44,43;56,82;26,60;85,99;75,69;72,77;55,31;26,20;14,55;14,55;23,29;14,55;20,38;29,11;29,11;17,47;8,73
1504109;Magalhães Barata;0,00;54,79;0,00;0,00;164,38;109,59;0,00;0,00;0,00;0,00;0,00;12,08;0,00;12,03;35,20;46,79;0,00;23,26;12,32;0,00;0,00;36,97;12,32;36,97;0,00;24,65;24,65;0,00;24,65;24,65
1504208;Marabá;112,43;148,97;151,78;199,56;196,75;139,13;101,19;95,57;115,24;150,38;71,97;78,98;77,92;101,99;91,97;71,60;53,96;52,14;67,91;80,66;46,15;40,90;36,77;41,65;38,27;43,90;46,15;38,27;42,77;49,15
1504307;Maracanã;77,27;15,45;77,27;77,27;30,91;46,36;0,00;30,91;30,91;61,81;34,91;17,45;27,91;20,92;13,59;23,75;10,16;30,45;7,75;15,50;23,10;7,70;15,40;0,00;3,85;0,00;11,55;7,70;7,70;23,10
1504406;Marapanim;117,75;50,46;100,93;100,93;50,46;235,49;100,93;50,46;0,00;50,46;44,02;36,54;25,48;32,65;42,52;63,52;35,15;24,51;0,00;34,00;3,76;7,53;3,76;15,05;15,05;15,05;15,05;11,29;30,11;11,29
1504422;Marituba;175,32;182,20;240,64;206,26;281,89;127,20;82,51;96,26;103,13;37,81;71,48;63,46;84,51;85,25;100,53;45,62;32,91;33,13;44,34;27,15;13,42;12,52;5,37;8,05;5,37;5,37;8,05;11,63;9,84;10,73
1504455;Medicilândia;147,45;132,70;147,45;176,94;14,74;117,96;58,98;132,70;132,70;103,21;47,55;66,92;52,78;78,11;6,41;47,47;31,27;61,83;51,70;59,09;25,84;62,74;44,29;29,53;11,07;11,07;18,45;25,84;47,98;29,53
1504505;Melgaço;0,00;0,00;0,00;0,00;11,68;11,68;11,68;11,68;11,68;0,00;0,00;0,00;0,00;0,00;3,65;3,62;7,17;10,67;7,17;3,59;0,00;0,00;0,00;0,00;0,00;0,00;3,59;7,17;3,59;0,00
1504604;Mocajuba;24,91;74,73;74,73;37,36;87,18;24,91;87,18;149,46;149,46;74,73;10,37;27,21;23,45;23,12;35,79;12,85;47,57;81,46;66,18;40,44;3,68;3,68;7,35;14,71;14,71;7,35;11,03;7,35;7,35;18,38
1504752;Mojuí dos Campos;17,21;17,21;34,42;0,00;0,00;17,21;17,21;17,21;0,00;17,21;6,52;19,42;12,86;19,17;12,51;18,65;18,54;18,43;0,00;8,51;4,26;4,26;12,77;21,28;12,77;4,26;12,77;0,00;4,26;21,28
1504802;Monte Alegre;0,00;19,30;19,30;12,86;12,86;12,86;12,86;0,00;12,86;0,00;7,11;5,33;7,09;17,71;6,91;8,62;12,04;8,58;10,00;0,00;20,00;15,00;16,66;13,33;10,00;18,33;21,66;26,66;20,00;15,00
1504901;Muaná;7,83;0,00;0,00;0,00;0,00;7,83;0,00;15,65;15,65;0,00;8,04;2,63;7,77;2,55;5,03;2,48;2,44;7,24;11,02;0,00;4,41;6,61;6,61;2,20;0,00;2,20;2,20;4,41;0,00;2,20
1504950;Nova Esperança do Piriá;53,24;106,48;124,22;159,72;195,21;124,22;88,73;70,98;35,49;35,49;33,99;38,72;67,54;76,96;93,94;74,88;51,30;46,47;78,13;29,30;9,77;14,65;19,53;19,53;19,53;14,65;19,53;4,88;14,65;4,88
