,AGE,GENDER,STATE,EDUC,MARRIED,JOB,INC,PEOPLE,PINC,CEREAL,ROOT,VEGAN,FRUITS,MEAT,EGGS,MILK,OIL,SUGAR,WELL,CWELL,PWELL,ORG,CORG,PORG,GARDEN,CGARDEN,PGARDEN,VEG,CVEG,PVEG,GARDV1,GARDV2,GARDV3,GARDV4,GARDV5,NGARD,FGARD,INDEXV,INDEXN,VEGROOT,MEETEGG,DEPRATIO
137,21.0,1.0,CE,12.0,1.0,1.0,1500.0,5.0,3.0,7.0,0.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,4.0,3.0,5.0,4.0,3.0,2.0,3.0,5.0,5.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,103.5,3,7.0,7.0,0.4
138,37.0,1.0,PE,16.0,0.0,1.0,19000.0,5.0,3.0,7.0,5.0,6.0,7.0,7.0,3.0,7.0,7.0,3.0,1.0,3.0,1.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,104.0,3,7.0,7.0,0.4
139,33.0,0.0,CE,16.0,0.0,1.0,2500.0,3.0,0.0,6.0,1.0,7.0,3.0,5.0,5.0,4.0,5.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,93.5,3,7.0,7.0,1.0
140,50.0,1.0,CE,12.0,0.0,1.0,1500.0,3.0,1.0,4.0,5.0,3.0,3.0,7.0,3.0,4.0,6.0,0.0,2.0,4.0,3.0,1.0,5.0,4.0,4.0,5.0,5.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,86.0,3,7.0,7.0,0.6666666666666666
141,29.0,0.0,CE,12.0,0.0,1.0,1500.0,3.0,1.0,7.0,2.0,3.0,1.0,2.0,7.0,5.0,4.0,7.0,0.0,4.0,2.0,3.0,5.0,2.0,1.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,73.5,3,7.0,7.0,0.6666666666666666
142,45.0,0.0,CE,16.0,0.0,1.0,2500.0,3.0,1.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,5.0,4.0,2.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,86.0,3,7.0,7.0,0.6666666666666666
143,27.0,1.0,CE,14.0,1.0,0.0,13500.0,2.0,1.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,7.0,3.0,4.0,4.0,5.0,2.0,5.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,108.5,3,7.0,7.0,0.5
144,38.0,1.0,PE,16.0,0.0,1.0,10000.0,2.0,2.0,2.0,2.0,4.0,5.0,7.0,7.0,4.0,2.0,2.0,1.0,3.0,2.0,5.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,69.5,3,4.0,7.0,0.0
145,41.0,1.0,CE,9.0,0.0,1.0,1500.0,4.0,2.0,7.0,4.0,3.0,7.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,72.5,3,7.0,7.0,0.5
146,25.0,0.0,AM,14.0,0.0,1.0,1500.0,2.0,2.0,7.0,1.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,3.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,107.0,3,7.0,7.0,0.0
