;AGRO;IEXT;ITRA;IELE;ICON;SCON;STRA;SINF;SFIN;SIMO;SOSE;SADM;VA;IMP;PIB;CFAM;CGOV;FBC;EXP;IMPOR;RPRIM
2017.I;25120,355032;2490,593373;27238,970306;6642,582701;14019,965382;19214,783258;7851,944584;11204,445800;32090,138374;28937,213444;35029,976569;39155,332825;245344,190800;40500,839435;286503,338087;189428,257367;52395,173454;47675,478725;37439,091194;37472,598436;-2703,659
2017.II;22400,742240;2587,093577;29056,685948;6454,631036;13664,129865;20134,912270;8127,742146;11165,367205;32470,836425;29267,341895;36308,803954;40030,729288;249447,299858;41179,457719;291296,005409;192828,442583;54667,195173;48004,031346;42342,695113;36408,156374;-764,881
2017.III;18374,813919;2701,346981;31899,394258;6375,757229;13942,137952;21563,130278;8560,499746;11296,560919;32325,448026;29533,130074;37008,167792;40163,893303;253505,633706;42861,912941;296993,004793;199078,093604;54625,578935;50889,508097;42842,180360;40066,475528;-671,903
2017.IV;13025,852520;2650,448116;30363,388668;6511,938308;14106,532922;21730,433423;8416,815674;12060,650799;33849,296436;29868,546596;37621,418815;39758,093612;249867,797160;43597,324517;294008,673954;206410,702855;56287,834976;50985,275349;38893,190414;40741,693996;-962,252
2018.I;24447,118017;2468,489829;28347,768946;6761,563087;13271,572828;20381,781875;8065,864043;11157,245093;32380,142281;29776,565825;36265,663677;39464,460401;249573,552196;41754,874595;291962,836713;196398,353540;52928,711406;49249,679290;39320,907138;40251,144353;-2539,019
2018.II;22574,704173;2620,061293;29613,061320;6718,380917;13260,743250;20644,573338;8215,905781;11443,446947;32903,260808;30226,822966;37449,619993;40126,848829;253474,872034;41871,226277;296009,567383;196980,266579;55354,022900;49879,287654;41291,458534;38470,222050;-1884,076
2018.III;19259,239257;2703,173119;32385,188521;6527,318668;13812,779841;21958,776937;8805,031187;11567,133067;32958,134720;30573,812707;38310,146215;40087,676640;258758,257750;43701,601494;303102,981092;202953,101900;55491,638166;55581,109288;43902,487525;45342,006993;-442,194
2018.IV;13672,253757;2678,350633;29863,697028;6929,782428;13720,240544;21833,972751;8577,221424;12394,472631;33804,391007;30927,995307;39043,446477;39584,201278;253887,243723;44098,415184;298573,152319;210051,063415;55916,640618;53179,780536;43548,729419;42602,772375;-952,820
2019.I;24602,802509;2227,300250;27975,610417;7114,917087;13028,234371;20434,177682;8215,159857;11660,906906;32810,792801;30764,119540;37401,989427;39361,311054;251624,312068;42334,273153;294587,151661;200882,164067;52699,345273;50806,294785;38508,026367;39130,943414;-2029,264
2019.II;22775,046262;2167,089309;30006,902075;6917,089751;13590,640419;20952,246708;8308,177159;11855,462101;32606,554151;31171,992454;38392,976107;39898,253409;255683,409966;43146,000045;299466,036912;201804,709335;55071,246576;53657,747961;41551,257425;40352,505943;-1035,199
2019.III;19428,185443;2549,459190;31762,163955;6700,309150;14479,203016;22439,695868;8714,369115;12103,565452;33363,644676;31248,297435;38995,311898;39719,591023;260794,999436;45032,019347;306459,851810;208234,013461;54843,448074;58280,619608;42357,835089;46427,722627;-130,860
2019.IV;13479,116795;2568,267156;29953,181259;6899,080856;14002,651608;22378,713518;8446,285965;13019,324676;34685,488022;31276,819566;40453,142901;39607,450543;257533,638318;45516,821969;303658,462739;216390,287304;56008,851072;53514,980292;41341,647763;42975,910336;-18576,324
2020.I;26189,521147;2302,888107;27512,075482;6823,854032;13289,709186;20820,699797;7846,361278;12093,204774;32884,884395;31223,876242;37136,174878;39267,971733;252505,083565;42670,782731;295822,275334;201520,601446;52733,094619;53907,466053;37331,166968;41543,988562;-11435,989
2020.II;23925,003585;2307,003246;23691,754992;6885,370184;12400,042733;18226,649710;6327,096518;11707,857269;34218,930330;31429,869475;31379,514476;36336,808660;230988,243995;37493,301718;269140,961811;179139,678530;50816,940060;45534,901716;41551,656591;34721,987225;-2809,834
2020.III;19823,308215;2581,305571;31610,605911;6960,327665;14195,735883;22570,103790;7383,219959;12199,643906;35000,638652;31796,957407;34709,571557;37536,298557;253355,443904;43205,066722;297191,842500;197529,253406;52409,679359;53136,416893;41706,369929;34980,855027;950,946
2020.IV;13698,884750;2402,607349;31297,703161;6682,870092;14065,993992;23336,420566;7849,780911;13647,889593;35710,563249;32176,801809;37635,461512;38265,127054;256130,490690;45887,481509;302558,627844;211361,567961;54598,216082;59902,885580;39418,013976;41635,432337;-2813,216
2021.I;28027,611920;2247,745383;28977,484764;6981,717794;13975,982422;21847,147652;7856,188062;12793,859301;34086,531302;31907,923082;35446,800203;37758,943016;256416,452871;43848,844694;300893,450753;198891,115941;51204,816105;62395,048988;37720,017873;44402,356490;-945,557
2021.II;23928,865708;2450,082252;29587,352481;7000,203722;14175,065251;21874,227958;8029,878656;13577,613175;33793,450262;32142,132237;36944,033125;38621,079378;258249,168295;43630,216607;302555,891014;197406,499622;54446,880042;60133,384752;47544,322302;41706,649237;1472,734
2021.III;18258,357100;2654,643069;31272,711396;6777,902193;15652,092208;23054,514722;8528,869149;14041,583789;34150,563875;32371,847548;39739,036468;39047,588449;263927,484230;45844,697619;310360,082577;206780,514202;55185,819804;63180,773784;43409,998024;42296,521575;1558,017
2021.IV;13654,300223;2522,609361;29383,744676;6856,772992;15549,331687;22433,376892;8779,718137;15485,506568;35799,105005;32808,559107;41498,696801;39434,863615;262029,365068;46476,317802;309010,099455;215611,048288;56995,646915;61818,091227;40721,367858;42866,712891;127,645
2022.I;26578,704322;2203,042136;27621,430323;7613,709530;15071,037622;21310,214836;8555,882399;13520,354898;33770,693297;32435,770448;39887,829431;39127,040386;263511,796888;44067,738021;308196,101770;203871,687139;53209,327963;58396,441384;41015,770800;39712,551362;-589,689
2022.II;23720,824571;2359,910667;29730,215915;7663,621627;15637,289878;22173,436408;8902,073716;14164,733850;33259,603740;32764,862450;42162,209163;39154,956216;268526,730966;44548,381610;313705,762064;208583,872986;54959,654088;61044,738386;45353,612669;41291,207878;560,275
