AGE;GENDER;EDU;MARRY;EMPLOY;INCOME;PEOPLE;KNOW;BUY;PAY;;;;;;;;;;;;;;;;;;;;
21;1;12;1;1;1500;5;3;5;4;;;;;;;;;;;;;;;;;;;;
37;1;16;0;1;19000;5;3;1;3;;;;;;;;;;;;;;;;;;;;
33;0;16;0;1;2500;3;4;2;4;;;;;;;;;;;;;;;;;;;;
50;1;12;0;1;1500;3;4;3;1;;;;;;;;;;;;;;;;;;;;
29;0;12;0;1;1500;3;4;2;3;;;;;;;;;;;;;;;;;;;;
45;0;16;0;1;2500;3;4;2;2;;;;;;;;;;;;;;;;;;;;
27;1;14;1;0;13500;2;3;4;4;;;;;;;;;;;;;;;;;;;;
38;1;16;0;1;10000;2;3;2;5;;;;;;;;;;;;;;;;;;;;
41;1;9;0;1;1500;4;3;1;1;;;;;;;;;;;;;;;;;;;;
25;0;14;0;1;1500;2;1;1;4;;;;;;;;;;;;;;;;;;;;
24;0;11;1;1;1500;4;2;1;2;;;;;;;;;;;;;;;;;;;;
27;1;16;1;1;4500;4;4;3;3;;;;;;;;;;;;;;;;;;;;
32;1;16;1;1;1500;1;4;1;3;;;;;;;;;;;;;;;;;;;;
44;1;16;1;1;4500;3;2;2;3;;;;;;;;;;;;;;;;;;;;
40;1;16;0;1;2500;4;4;3;1;;;;;;;;;;;;;;;;;;;;
51;0;16;0;1;2500;4;4;3;4;;;;;;;;;;;;;;;;;;;;
58;1;16;1;1;2500;1;4;3;4;;;;;;;;;;;;;;;;;;;;
39;1;14;0;1;2500;4;3;1;1;;;;;;;;;;;;;;;;;;;;
37;1;22;0;1;2500;3;3;1;2;;;;;;;;;;;;;;;;;;;;
45;1;16;1;1;2500;1;1;5;2;;;;;;;;;;;;;;;;;;;;
44;1;9;0;1;2500;3;1;4;5;;;;;;;;;;;;;;;;;;;;
40;1;12;1;0;1500;2;1;1;3;;;;;;;;;;;;;;;;;;;;
40;1;12;0;1;2500;4;3;5;4;;;;;;;;;;;;;;;;;;;;
55;1;16;1;1;2500;1;1;1;3;;;;;;;;;;;;;;;;;;;;
31;1;12;0;0;1500;2;4;3;4;;;;;;;;;;;;;;;;;;;;
44;0;12;0;1;4500;3;1;1;1;;;;;;;;;;;;;;;;;;;;
35;1;16;1;1;2500;1;3;2;3;;;;;;;;;;;;;;;;;;;;
41;1;16;1;1;4500;1;4;2;5;;;;;;;;;;;;;;;;;;;;
40;1;16;0;0;2500;2;3;2;1;;;;;;;;;;;;;;;;;;;;
36;1;22;0;1;8000;3;4;3;5;;;;;;;;;;;;;;;;;;;;
43;0;14;1;1;6500;2;2;1;4;;;;;;;;;;;;;;;;;;;;
44;1;12;1;1;2500;3;1;1;1;;;;;;;;;;;;;;;;;;;;
53;0;12;0;1;4500;5;3;5;1;;;;;;;;;;;;;;;;;;;;
32;1;14;1;1;2500;1;4;5;5;;;;;;;;;;;;;;;;;;;;
48;0;12;0;1;8000;4;2;2;3;;;;;;;;;;;;;;;;;;;;
48;1;12;0;1;2500;3;3;2;4;;;;;;;;;;;;;;;;;;;;
34;1;12;0;1;4500;3;1;3;3;;;;;;;;;;;;;;;;;;;;
40;1;16;0;1;2500;3;3;1;3;;;;;;;;;;;;;;;;;;;;
65;0;12;0;1;4500;2;5;3;5;;;;;;;;;;;;;;;;;;;;
25;1;14;1;1;6500;3;1;1;3;;;;;;;;;;;;;;;;;;;;
68;1;12;1;0;1500;5;2;2;3;;;;;;;;;;;;;;;;;;;;
33;1;12;1;1;1500;4;2;3;2;;;;;;;;;;;;;;;;;;;;
34;1;16;0;1;10000;3;3;1;1;;;;;;;;;;;;;;;;;;;;
46;0;14;0;1;6500;4;1;1;3;;;;;;;;;;;;;;;;;;;;
35;0;12;1;1;1500;5;2;2;3;;;;;;;;;;;;;;;;;;;;
20;1;12;1;1;1500;5;4;2;1;;;;;;;;;;;;;;;;;;;;
31;1;16;1;1;1500;4;2;1;4;;;;;;;;;;;;;;;;;;;;
28;1;16;0;1;1500;4;3;1;2;;;;;;;;;;;;;;;;;;;;
50;1;12;0;0;1500;4;3;5;4;;;;;;;;;;;;;;;;;;;;
40;1;16;0;1;6500;7;4;4;5;;;;;;;;;;;;;;;;;;;;
39;1;16;1;1;1500;2;4;2;2;;;;;;;;;;;;;;;;;;;;
51;1;12;0;1;1500;4;2;3;5;;;;;;;;;;;;;;;;;;;;
52;1;16;0;1;4500;2;3;3;5;;;;;;;;;;;;;;;;;;;;
24;0;14;1;1;2500;4;2;2;2;;;;;;;;;;;;;;;;;;;;
37;0;16;1;1;4500;1;3;3;4;;;;;;;;;;;;;;;;;;;;
47;0;22;0;1;19000;2;5;5;5;;;;;;;;;;;;;;;;;;;;
38;1;12;0;1;2500;2;4;4;3;;;;;;;;;;;;;;;;;;;;
38;1;12;0;1;2500;2;4;3;4;;;;;;;;;;;;;;;;;;;;
40;1;16;0;0;1500;3;5;2;3;;;;;;;;;;;;;;;;;;;;
27;1;12;0;1;1500;3;2;2;4;;;;;;;;;;;;;;;;;;;;
45;1;12;0;1;2500;4;4;4;5;;;;;;;;;;;;;;;;;;;;
24;0;14;1;1;27500;4;3;2;3;;;;;;;;;;;;;;;;;;;;
27;1;16;0;1;4500;2;2;1;2;;;;;;;;;;;;;;;;;;;;
