METRO;CAPITAL;IPS;VAB21;PIB21;PIBPC21;ATV;POP21;ARREC23;DEMA;DESMAR;MORTR;MORTI;MORT;MORTINF;HOSP;SUBN;AGUA;ESG;IAGUA;PAGUA;COLETA;LUZ;PAREDE;PISO;ASSJ;ASSM;MORTAT;HOMI;ABNEF;ABNEM;EVSEM;DSTIEM;IDEBF;REPM;INTER;BANDA;TELM;QINTM;EXPVIDA;MRT1550;MRTCRN;OBS;SUI;VERDE;CO2;CALOR;VUNEC;VEG;DIRH;JUS;CULT;GRAV19;PARQUE;TRABI;VMULHER;ESUP;ENEM;FBE14;AG;PEC
0;0;57,95;96406,93;99626,81;34083,75;PEC;2923;3851042,83;81,85;0,4;33,48;0;75,52;10,81;307,9;4,66;39,12;44,91;23,37;65,56;39,12;93,88;83,64;98,58;0;0;30,93;6,19;0,24;1;8,1;24,7;4,3;1;34,87;12,64;54,68;96,33;73,15;3,85;352,75;24,66;30,93;1,2;109,35;9,28;52,9;42,97;12;1;1;10,34;0;7,51;63,49;48,57;501,53;4,7;0;1
0;0;53,6;442052,69;468792,65;39880,28;PEC;11755;25963000,22;53,2;1,06;34,87;3,73;185,79;24,69;340,28;4,13;69,91;18,48;99,02;31,23;44,91;89,37;80,28;91,56;61,67;11,2;32,18;42,9;0,4;13,6;16,4;27,9;4,33;5,6;44,62;0,76;66,02;91,67;74,21;1,76;310,48;24,26;12,87;0,43;153,99;53,63;53,66;36,13;2;1,04;2;17,9;1,84;22,19;87,13;52,16;480,42;4,6;0;1
0;0;45,49;460942,68;487480,17;17967,64;ADM;27131;24172034,66;61,75;14,18;3,82;3,82;127,8;14,42;1356,38;4,61;5,32;21,81;7;44,91;50,06;86,45;32,8;96,2;26,5;1,52;33,64;47,1;1,8;15,4;9,6;23,7;4,15;2,9;73,49;15,65;56,67;62,23;72,33;2,47;473,04;23,38;4,04;1,7;226,76;595,44;51,43;49,36;2;1,09;1;19,71;0,42;5,82;181,39;23,38;478,95;4,15;0;0
0;0;49,88;231763,03;239330,27;33566,66;PEC;7130;4653334,31;28,12;4,02;13,43;13,43;136,7;23,26;224,4;4,44;0,19;4,96;3,12;47,44146667;30,71;79,96;87,6;97,72;61,24;0;25;37,5;1,1;7,3;8,9;20,7;5,1;1,5;39,34;2,05;57,79;96,43;70,71;3,23;313,7;20,43;25;0,86;118,63;279,97;57,44;16,75;5;0,91;1;12,79;0,42;9,41;25,49;38,31;506,65;5,1;0;1
0;0;53,62;199137,08;210030,62;19413,13;ADM;10819;15201408,75;25,1;4,32;18,8;0;90,37;18,69;711,71;3,55;9,21;49,5;61,29;38,88333333;59,97;94,28;75,69;95,95;40,75;24,44;70,19;58,49;0,5;7,3;12,7;25,8;4,55;24,3;63,25;18,6;91,71;91,08;70,08;2,74;298,23;25,16;7,02;1,05;90,76;136,99;47,75;21,64;3;1,03;2;18,69;1,08;0;29,33;37,1;464,81;5,2;0;0
0;0;57,06;276263,41;297878,17;31484,85;AGR;9461;13943423,38;89,5;0,6;31,38;0;133,02;15,53;665,89;5,71;30,65;18,02;29,69;33,13;50,53;88,79;97,09;99,69;43,99;0;15,47;30,93;0,4;3,1;4,6;16,4;5,6;1,2;47,77;19,67;66,58;97,32;71,55;2,47;307,84;22,63;15,47;0,18;38,07;9,28;52,21;31,13;2;0,97;1;8,22;1,15;4,38;125,67;49,9;497,09;5,6;1;0
0;0;50,83;245770,89;262640,4;24566,5;ADM;10691;11805651,47;56;2,21;36,98;0;174,64;38,46;1056,96;5,35;20,62;11,29;24,65;73,07;61,17;89,25;97,06;90,76;38,45;21,9;21,66;32,49;0,7;14,1;9,9;20,1;4,9;2,5;68,64;32,16;78,77;95,37;72,99;2,53;541,04;20,16;8,66;0,43;59,27;56,31;56,68;33,89;3;1,04;2;12,31;0,96;16,08;109,51;38,49;514,82;4,9;0;0
0;0;48,27;368969,37;389890,8;24129,89;PEC;16158;10541032,18;79,12;2,8;18,74;6,31;96,82;36,14;872,63;3,64;32,41;0,46;33,79;62;50,68;80,93;94,54;98,71;24,82;18,01;8,66;69,28;1;7,6;7,2;24,9;4,55;3,36;50,21;0,85;72,54;97,04;70,71;3,2;332,54;22,59;6,93;1,09;76,58;84,86;60,69;49,05;2;1,09;3;21,08;2,67;1,58;504,23;46,88;477,45;4,4;0;1
0;0;50,29;151498,19;157320,81;23060,8;PEC;6822;4004380,88;91,72;3,1;43,51;5,39;177,91;9,71;776,9;4,15;15,01;62,6;15,05;45,96;29,05;85,12;78,92;96,34;60,57;0;64,52;32,26;0,8;14,1;9,6;27,1;5;2,4;39,23;5,33;66,34;92,12;70,17;1,26;350,78;22,17;12,9;0,09;193,24;91,94;50,7;47,26;1;1,04;1;15,53;0;3,9;72,3;32,63;517,03;4,5;0;1
0;0;54,16;150346,38;155434,26;24597,92;PEC;6319;9088192,85;46,99;0,88;48,4;0;16,67;22,22;917,87;4,34;39,14;28,96;12,39;30,5;46,7;94,08;91,67;94,25;22,45;0;9,7;24,24;0,4;0,8;4,3;15,3;4,35;6,4;46,55;1,07;54,39;97,4;73;1,4;273,07;20,78;14,55;0,63;118,25;138,18;59,67;38,72;2;0,87;1;22,22;2,59;1,65;50,97;44,6;521,45;4,6;0;1
