Column1;AGE;GENDER;STATE;EDUC;MARRIED;JOB;INC;PEOPLE;PINC;CEREAL;ROOT;VEGAN;FRUITS;MEAT;EGGS;MILK;OIL;SUGAR;WELL;CWELL;PWELL;ORG;CORG;PORG;GARDEN;CGARDEN;PGARDEN;VEG;CVEG;PVEG;GARDV1;GARDV2;GARDV3;GARDV4;GARDV5;NGARD;FGARD;INDEXV;INDEXN;VEGROOT;MEETEGG;DEPRATIO
264;640;10;PE;120;10;0;15000;40;10;70;0;20;20;30;10;20;70;70;30;10;20;10;30;10;10;10;30;10;10;10;0;10;0;0;0;0;10;700;3;70;30;75
265;570;10;PA;160;10;0;15000;50;10;70;40;20;20;70;20;50;70;30;20;10;30;40;50;40;50;50;40;10;10;10;10;10;0;10;0;0;30;875;3;70;70;8
266;500;10;BA;160;0;10;15000;30;10;70;70;70;70;70;60;0;70;20;50;40;20;30;40;40;50;50;50;10;20;50;10;10;0;0;0;0;20;1045;3;70;60;6,66667E+15
267;650;10;MG;90;10;0;15000;50;20;70;30;70;70;70;70;40;70;70;70;40;50;40;30;20;40;50;40;40;20;20;10;0;0;10;0;0;20;1120;3;70;70;6
268;630;0;MG;160;0;10;190000;10;10;60;30;50;60;70;60;10;50;20;50;30;20;30;30;30;30;40;40;30;20;20;10;0;0;0;0;0;10;935;3;70;70;0
269;610;10;BA;180;10;10;45000;10;0;70;40;70;70;70;70;50;70;50;50;40;40;40;50;50;50;50;50;50;40;40;10;0;0;0;10;0;20;1100;3;70;70;10
270;500;0;SC;90;0;10;45000;40;20;70;40;50;70;70;40;10;50;20;70;20;30;50;10;10;10;10;40;10;10;10;10;0;0;0;0;0;10;875;3;70;50;5
271;690;10;MG;160;0;0;45000;20;10;70;40;30;60;50;60;40;50;70;50;40;20;40;40;30;40;40;40;30;20;20;10;10;0;10;10;0;40;880;3;70;70;5
273;420;10;GO;160;10;0;15000;50;20;70;30;50;20;40;20;50;20;70;20;30;50;50;40;20;50;40;30;30;20;40;10;10;10;10;10;0;50;755;3;70;70;6
274;520;10;MG;120;10;0;15000;20;10;70;70;70;70;70;70;70;20;60;30;40;40;40;40;30;50;50;50;40;20;40;10;10;0;0;10;0;30;895;3;70;70;5
275;450;10;MG;160;10;10;25000;30;10;70;70;70;70;30;60;10;20;40;30;10;10;40;30;20;40;40;40;10;10;30;10;0;0;0;0;0;10;845;3;70;70;6,66667E+15
276;510;10;PE;120;10;0;15000;20;20;60;20;30;20;40;40;30;20;70;30;20;10;40;40;20;40;30;40;40;40;30;10;10;0;10;10;0;40;700;3;70;70;0
277;350;10;PR;160;10;10;80000;30;30;60;20;50;70;50;60;70;70;70;60;20;20;50;40;30;40;20;40;30;30;40;10;0;0;10;0;0;20;1035;3;70;70;0
278;580;10;SP;50;0;0;80000;40;20;70;40;70;70;40;70;70;70;70;20;40;30;30;50;40;40;40;50;20;20;20;10;10;0;10;10;0;40;1065;3;70;70;5
279;450;10;PR;160;10;10;80000;30;10;40;40;50;70;70;70;60;70;30;40;30;10;50;40;40;50;50;50;40;10;20;10;10;0;10;10;0;40;1025;3;70;70;6,66667E+15
280;280;10;GO;110;10;0;15000;30;0;70;40;30;50;60;70;30;40;70;70;20;20;40;30;40;50;40;40;20;20;30;10;0;0;0;0;0;10;850;3;70;70;10
281;510;10;DF;120;0;10;15000;20;20;70;0;70;30;0;20;70;0;70;70;40;10;50;40;20;40;50;40;40;10;30;10;10;0;0;10;0;30;730;3;70;70;0
282;320;0;PI;160;0;10;25000;20;10;70;30;70;30;50;70;40;70;70;70;30;10;40;50;20;30;50;20;50;10;10;10;0;0;0;0;0;10;1060;3;70;70;5
283;480;10;PE;110;10;0;15000;10;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;10;10;10;40;10;10;10;10;0;0;0;0;0;10;0;1;0;0;10
284;530;10;SP;160;0;10;65000;20;20;0;70;70;70;70;20;70;0;70;70;50;50;50;50;50;50;50;40;50;30;50;10;0;0;0;0;0;10;840;3;70;70;0
285;590;10;RJ;160;10;0;65000;10;10;60;30;50;30;30;70;20;70;60;30;30;40;50;40;20;50;40;40;30;20;50;10;10;0;10;0;0;30;955;3;70;70;0
286;360;0;RJ;110;0;10;25000;40;20;70;30;60;60;50;50;40;20;50;50;30;30;30;40;20;40;40;30;30;10;10;10;10;0;0;0;0;20;840;3;70;70;5
