IBGE;MUNIC;UF;ARRECADA;VABAGRO;VABIND;VABSER;VABSER;VABTOT;IMPLIQ;POP21;PIB;PIBPC;VAB1;VAB2;VAB3;RPC;PATLIQP;RMDEC;PATLIQD;POBE23;POB23;CADU
1301407;Eirunepé;AM;7059920,9;248976,216;20730,895;77827,416;204938,524;552473,051;15566,428;36120,99;568039,479;15726,02;ADM;FLR;DMS;164,27;1347,63;4969,91;40771,55;22294;1385;26927
1301506;Envira;AM;5731425,72;45372,45;9555,869;38933,805;114651,234;208513,357;7013,349;20748,00;215526,707;10387,83;ADM;DMS;AGR;93,39;1227,54;4502,34;59180,38;13009;370;14360
1301605;Fonte Boa;AM;4769589,76;28885,012;14195,129;44171,787;127120,697;214372,624;8400,802;16408,99;222773,426;13576,3;ADM;DMS;FLR;182,03;337,13;4396,82;8143,42;17841;926;21434
1301654;Guajará;AM;3187038,74;31779,368;7128,063;29219,907;105025,278;173152,616;4167,554;17193,00;177320,17;10313,51;ADM;DMS;AGR;75,94;352,62;5104,06;23700,00;11737;608;13411
1301704;Humaitá;AM;22564913,69;183792,968;77642,907;254810,706;283060,665;799307,246;60860,303;57195,00;860167,548;15039,21;ADM;DMS;FLR;359,80;4817,43;5688,70;76167,15;32647;1376;39915
1301803;Ipixuna;AM;4129935,8;16712,882;7758,212;32394,802;153568,936;210434,832;6083,888;31171,98;216518,72;6945,94;ADM;DMS;FLR;52,01;400,69;4739,15;36512,73;14356;227;15182
1301852;Iranduba;AM;48327997,75;303361,642;123195,761;211278,932;305723,038;943559,372;58302,905;49717,99;1001862,277;20150,9;ADM;FLR;DMS;219,46;3317,01;5040,38;76180,85;43002;2272;53023
1301902;Itacoatiara;AM;132106814,7;465660,825;182494,037;926007,19;576311,301;2150473,352;199989,671;104046,02;2350463,023;22590,61;DMS;ADM;FLR;285,27;2772,46;5130,03;49857,27;50490;5616;72286
1301951;Itamarati;AM;48918597,18;42943,84;6480,859;23316,661;59016,118;131757,478;3862,483;7777,00;135619,961;17438,6;ADM;AGR;DMS;138,69;1072,05;4184,26;32343,68;7943;453;9864
1302009;Itapiranga;AM;83997928,88;40381,978;9291,059;31590,665;64053,782;145317,484;7191,696;9312,00;152509,179;16377,7;ADM;DMS;FLR;198,58;992,25;4503,46;22502,35;6182;635;8843
1302108;Japurá;AM;58011274,46;16662,741;6035,535;21849,741;37323,42;81871,436;3937,495;1755,00;85808,931;48893,98;ADM;DMS;FLR;515,82;923,04;5425,79;9709,12;4925;680;6468
1302207;Juruá;AM;1813838,11;21456,015;6747,498;20684,749;85089,409;133977,671;4095,883;15494,99;138073,554;8910,85;ADM;FLR;DMS;91,04;560,17;4568,99;28112,61;7416;289;8822
1302306;Jutaí;AM;5575793,17;77531,395;14841,714;52066,183;114027,223;258466,516;7910,192;13462,00;266376,707;19787,31;ADM;AGR;DMS;160,20;1130,49;4449,15;31395,86;18261;1046;21670
