IBGE;MUNIC;UF;VABAG;VABIND;VABSER;VABADM;VABTOT;PIB;PIBPC
1303957;São Sebastião do Uatumã;AM;20957,958;6870,786;24320,886;80211,34;132360,969;136609,077;9307,06
1304005;Silves;AM;58571,851;20700,241;23226,144;64095,64;166593,876;175041,607;18843,97
1304062;Tabatinga;AM;20270,653;50521,178;227285,607;396660,211;694737,649;758035,604;11065,89
1304104;Tapauá;AM;59592,198;11910,628;40964,377;119938,94;232406,143;239943,811;14218,05
1304203;Tefé;AM;191608,332;227130,131;249040,97;383685,14;1051464,574;1098392,396;18538,27
1304237;Tonantins;AM;13061,857;7588,648;33006,732;125811,298;179468,535;185410,261;9738,96
1304260;Uarini;AM;81995,855;10922,656;39393,959;88151,534;220464,004;229208,979;16562,54
1304302;Urucará;AM;51039,805;10448,592;37696,325;99414,009;198598,732;205655,739;12847,86
1304401;Urucurituba;AM;34163,774;12699,258;43384,161;134009,788;224256,981;232660,624;9654,77
1400027;Amajari;RR;62983,343;10213,139;21937,633;142661,497;237795,612;240826,098;17758,73
1400050;Alto Alegre;RR;146584,677;14739,162;49570,385;167565,791;378460,014;385506,664;25280,78
1400100;Boa Vista;RR;190927,99;1306705,239;5625759,111;4791542,697;11914935,04;13493364,05;30906,19
1400159;Bonfim;RR;274520,07;22091,098;70214,949;147193,341;514019,458;522405,211;41131,03
1400175;Cantá;RR;58179,612;19722,879;38823,325;205699,657;322425,472;353071,266;18334,7
1400209;Caracaraí;RR;68071,318;22712,45;89619,918;253062,043;433465,729;453297,537;20026,4
1400233;Caroebe;RR;73570,281;6606,554;33952,204;116438,515;230567,554;236787,802;22349,01
1400282;Iracema;RR;38618,321;5929,143;24504,885;135327,428;204379,777;208476,682;16497,32
1400308;Mucajaí;RR;70846,356;19885,322;81158,588;199047,899;370938,165;393852,028;21310,03
1400407;Normandia;RR;39995,823;6996,669;21175,348;131584,784;199752,625;202859,421;17232,37
1400456;Pacaraima;RR;10377,612;12128,26;60785,46;222587,81;305879,141;329091,961;16366,22
1400472;Rorainópolis;RR;104178,457;42449,47;161711,393;352449,258;660788,578;732355,771;23333,09
1400506;São João da Baliza;RR;43138,363;36301,843;51108,515;95075,724;225624,445;327768,1;38597,28
1400605;São Luiz;RR;43740,103;7045,594;25915,571;92071,479;168772,747;178971,582;21740,96
1400704;Uiramutã;RR;8657,086;2202,063;12597,847;118438,175;141895,171;143945,313;13069,3
1500107;Abaetetuba;PA;272103,456;73666,588;754254,4;670593,458;1770617,901;1949340,721;12150,04
1500131;Abel Figueiredo;PA;27211,225;9397,097;24595,188;36435,17;97638,681;105495,794;13998,91
1500206;Acará;PA;904959,242;58507,483;130361,031;313189,378;1407017,134;1433439,844;25714,69
1500305;Afuá;PA;174162,198;20325,002;46217,528;191434,055;432138,782;444235,786;11130,94
1500347;Água Azul do Norte;PA;239535,884;123817,798;63740,664;123931,045;551025,391;643132,324;23136,75
1500404;Alenquer;PA;302185,384;24543,194;135317,104;258579,519;720625,202;745403,099;12988,38
1500503;Almeirim;PA;88297,443;217317,122;118135,498;197733,882;621483,945;688370,093;20220,01
1500602;Altamira;PA;429743,804;443335,103;1337699,123;570385,42;2781163,451;3120219,096;26595,8
1500701;Anajás;PA;38552,119;7923,804;38003,87;159908,809;244388,603;259019,584;8607,88
1500800;Ananindeua;PA;13285,364;1035393,931;4679662,842;1834169,43;7562511,567;8939829,778;16542,68
1500859;Anapu;PA;235104,415;22742,909;140291,939;147061,992;545201,255;588032,29;20061,15
1500909;Augusto Corrêa;PA;67395,739;12566,894;56588,752;215340,531;351891,915;363770,783;7750,19
1500958;Aurora do Pará;PA;88250,275;9619,997;47444,519;152319,849;297634,64;308632,693;9584,87
1501006;Aveiro;PA;49842,173;8062,354;12942,232;78223,853;149070,611;151969,219;9254,57
1501105;Bagre;PA;85696,122;6408,754;23148,402;131039,532;246292,811;250547,554;7837,69
1501204;Baião;PA;265130,803;15628,901;63250,414;207917,498;551927,615;562146,663;11367,06
1501253;Bannach;PA;90752,551;1601,068;10297,569;23385,463;126036,651;129007,475;39829,41
1501303;Barcarena;PA;181645,83;4694504,226;1468420,897;623039,067;6967610,02;9243936,587;71473,92
1501402;Belém;PA;99129,199;3545283,074;17761260,92;5719640,392;27125313,58;33467126,22;22216,33
1501451;Belterra;PA;86223,274;10165,488;40850,977;90498,633;227738,372;237196,263;13218,69
1501501;Benevides;PA;12266,072;438135,887;793986,518;275375,192;1519763,669;1986728,895;30668,86
1501576;Bom Jesus do Tocantins;PA;90328,335;7013,045;48057,252;86921,757;232320,388;243883,113;14134,87
1501600;Bonito;PA;27274,154;53348,462;25644,415;64461,187;170728,218;206682,145;12325,25
1501709;Bragança;PA;185794,508;72633,34;465301,812;553560,356;1277290,016;1389572,581;10679
1501725;Brasil Novo;PA;161865,029;16473,298;90065,222;82254,448;350657,998;379813,134;25519,93
1501758;Brejo Grande do Araguaia;PA;44232,216;3061,068;22082,245;40113,263;109488,791;115088,437;15643,39
1501782;Breu Branco;PA;127549,695;159464,201;149788,419;278941,98;715744,296;794308,725;11579,35
1501808;Breves;PA;59886,547;32582,129;230788,46;510879,601;834136,737;893933,277;8572,43
1501907;Bujaru;PA;325586,913;21023,403;52274,412;128116,491;527001,219;536730,474;18061,39
1501956;Cachoeira do Piriá;PA;43546,628;6336,606;28307,909;143826,72;222017,864;227634,157;6447,28
1502004;Cachoeira do Arari;PA;94533,04;7756,186;36127,699;108108,052;246524,978;255830,008;10504,21
1502103;Cametá;PA;428677,845;40133,775;271170,972;596075,377;1336057,97;1393689,603;9897,38
1502152;Canaã dos Carajás;PA;111000,806;30877741,73;3066394,713;409265,432;34464402,68;34989610,09;894806,28
1502202;Capanema;PA;144330,747;131428,882;669848,323;275714,129;1221322,081;1427144,391;20438
1502301;Capitão Poço;PA;131839,77;35356,611;169240,739;237401,104;573838,223;615772,817;11289,26
1502400;Castanhal;PA;140845,751;642823,733;2195383,03;892125,44;3871177,953;4709312,377;22897,75
1502509;Chaves;PA;111397,161;3203,382;14036,855;117335,148;245972,547;248270,224;10269,71
1502608;Colares;PA;20699,347;2835,428;16851,114;58021,108;98406,997;100969,315;8293,17
1502707;Conceição do Araguaia;PA;143288,707;30254,233;232473,492;201168,452;607184,883;662825,059;13775,85
1502756;Concórdia do Pará;PA;110681,663;17568,806;93596,689;169990,559;391837,717;420235,553;12274,67
1502764;Cumaru do Norte;PA;267033,652;7684,786;52202,861;65093,105;392014,404;406927,482;28975,18
1502772;Curionópolis;PA;108749,678;3061789,874;337598,275;110157,595;3618295,421;3667340,784;206447,92
1502806;Curralinho;PA;56014,468;6530,03;34818,306;178793,032;276155,837;282512,4;7951,38
1502855;Curuá;PA;45804,708;3550,078;20928,936;75738,07;146021,792;149716,901;10132,44
1502905;Curuçá;PA;103441,162;13686,863;60211,566;178159,023;355498,614;369776,759;8998,53
1502939;Dom Eliseu;PA;233611,578;49662,077;303092,347;257719,032;844085,034;940611,427;15367,96
1502954;Eldorado do Carajás;PA;156254,465;48345,071;139684,722;163112,143;507396,401;556042,399;16321,07
1503002;Faro;PA;6823,237;2843,918;17199,975;46458,916;73326,046;76729,908;11041,86
1503044;Floresta do Araguaia;PA;260687,232;116728,343;95087,58;99190,142;571693,297;602622,887;29053,27
1503077;Garrafão do Norte;PA;75424,663;9990,903;49008,457;130160,004;264584,028;276032,65;10553,72
1503093;Goianésia do Pará;PA;168148,983;16662,373;107078,69;183720,208;475610,254;506638,175;12156,01
1503101;Gurupá;PA;79022,901;8426,719;45322,741;193239,396;326011,757;334287,016;9795,38
1503200;Igarapé-Açu;PA;82651,325;30206,445;108507,864;160245,76;381611,395;415894,006;10600,35
1503309;Igarapé-Miri;PA;188507,341;38042,58;126217,96;297945,447;650713,329;691233,363;10908,41
1503408;Inhangapi;PA;76518,941;19361,098;16987,316;49501,267;162368,623;174628,498;14541,47
1503457;Ipixuna do Pará;PA;83539,641;139060,648;89508,3;279771,025;591879,614;625212,973;9307,92
1503507;Irituia;PA;60721,35;11029,175;53706,997;141564,025;267021,547;278005,93;8517,6
1503606;Itaituba;PA;166185,695;753401,032;1316594,934;487245,563;2723427,223;3078558,25;30318,38
1503705;Itupiranga;PA;396489,05;27777,393;143844,984;239735,663;807847,09;841955,863;15755,46
1503754;Jacareacanga;PA;63183,856;290797,484;71739,478;183025,762;608746,58;625759,62;90011,45
1503804;Jacundá;PA;68475,321;29734,71;211319,462;251218,458;560747,952;615694,792;10173,91
1503903;Juruti;PA;290459,469;467214,797;303356,218;322782,409;1383812,893;1451756,372;24211,68
1504000;Limoeiro do Ajuru;PA;331383,478;5534,402;24270,022;137099,359;498287,26;503050,922;16981,77
1504059;Mãe do Rio;PA;31861,758;13178,495;121807,894;145853,902;312702,05;340310,64;11198,48
1504109;Magalhães Barata;PA;36893,16;2916,425;13292,147;43080,597;96182,328;98431,986;11448,24
1504208;Marabá;PA;608868,832;6619846,179;3400749,47;1413552,649;12043017,13;13523145,28;47010,21
1504307;Maracanã;PA;74588,787;9676,114;44500,206;153083,921;281849,028;289996,985;9810,78
1504406;Marapanim;PA;52540,897;8467,215;53659,879;140920,183;255588,174;263656,848;9230,71
1504422;Marituba;PA;2144,901;218180,339;1286912,291;615223,562;2122461,094;2578541,406;18986,11
1504455;Medicilândia;PA;626710,306;40575,823;165176,771;144370,199;976833,1;1023971,634;31655,85
1504505;Melgaço;PA;31532,638;6086,026;22304,083;152593,194;212515,941;216854,875;7711,49
1504604;Mocajuba;PA;184797,635;15087,067;61227,052;177501,91;438613,664;452081,939;14164,3
1504703;Moju;PA;501316,95;105209,686;248730,634;388604,545;1243861,815;1348480,959;16005,52
1504752;Mojuí dos Campos;PA;123924,354;16993,557;47713,822;88283,96;276915,693;288643,613;17727,77
1504802;Monte Alegre;PA;295333,682;33815,907;167587,545;272830,698;769567,832;807340,059;13850,64
1504901;Muaná;PA;102947,19;9212,376;41364,103;177086,558;330610,227;338763,85;8172,04
1504950;Nova Esperança do Piriá;PA;179895,277;11856,368;47032,919;101738,55;340523,114;350841,529;16303,8
1504976;Nova Ipixuna;PA;59161,002;7797,738;35570,824;80003,025;182532,589;192605,498;11311,77
