AGE;GENDER;EDU;MARRY;JOB;INCOME;HOUSE;OWN;CHILD;TEEN;ADULT;PET;STATE;POP;LIST;SHOP;STORE1;LABEL;STORE2;LUNCH;COOK;CHECK;MAID;LEFT1;LEFT2;FREEZE1;FREEZE2;OUT;READY;WASTE1;WASTE2;HARD;AVOID;FOOD1;FOOD2;DISC1;EXPIRED;SPOILED;DISLK;BADCK;NKEEP1;NKEEP2;DISC2;CERE;ROOTS;BEANS;MILK;PROTE;FRUIT;SWEET;DRINK;DISH;BREAD
30;0;18;1;1;4500;1;1;0;0;5;0;PI;153482;4;4;15;4;4;5;1;1;0;5;3;3;4;2;2;3;4;3;5;3;2;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
65;1;16;0;1;8000;1;1;0;0;2;0;PE;393115;3;4;15;5;5;4;5;5;0;5;5;2;2;2;3;4;5;5;5;2;2;2;1;1;0;0;0;0;3;1;1;0;1;0;0;0;0;0;0
31;1;17;0;0;4500;0;0;0;0;2;0;PE;365278;4;4;15;4;3;4;5;3;0;5;5;4;3;2;2;4;4;4;4;2;2;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
25;1;16;1;0;4500;0;0;0;1;3;1;GO;391772;2;4;3;2;1;2;4;3;0;3;4;3;3;1;4;4;4;3;3;5;3;3;1;1;1;0;0;0;2;0;0;0;0;1;1;0;0;0;0
62;0;22;0;1;8000;0;1;0;0;2;1;ES;176688;4;4;5;4;4;5;4;4;0;5;4;3;2;3;3;3;4;4;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;1;14;0;0;1500;0;0;1;0;2;1;SC;361855;4;4;30;5;5;3;5;4;0;3;4;4;1;4;4;4;4;4;5;5;3;1;0;1;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0
67;1;14;1;1;1500;0;1;0;1;2;1;PR;575377;4;3;7;1;1;2;4;5;0;5;5;3;3;3;3;4;5;4;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;0;22;0;1;27500;1;1;0;2;2;1;DF;3055149;4;3;7;4;3;4;4;3;1;5;5;3;4;2;4;4;4;4;3;2;2;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
39;1;16;0;0;13500;0;1;1;0;2;0;RJ;6747815;1;3;15;3;3;5;4;1;0;3;3;3;4;3;3;4;4;4;4;3;3;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
53;1;14;0;0;2500;1;1;0;0;3;1;SP;12325232;4;4;7;5;2;4;5;3;0;4;4;2;4;2;3;3;3;4;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;1;16;1;1;2500;1;1;0;0;3;1;SP;7852;2;5;3;5;1;1;2;3;0;1;1;3;3;2;2;3;3;1;3;5;2;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0
55;1;22;0;1;8000;1;1;0;2;2;1;SP;55124;4;4;30;5;5;5;5;5;0;4;4;2;2;2;1;5;4;5;5;2;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;1;12;0;0;8000;1;1;1;0;2;1;BA;69662;4;4;15;5;4;5;5;2;0;4;2;1;2;2;2;4;4;5;5;2;2;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
40;1;14;0;1;8000;0;1;0;0;2;1;RJ;6747815;4;4;15;5;5;5;5;4;0;4;3;2;2;2;2;4;5;5;5;2;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;1;12;1;1;2500;1;1;0;0;3;0;SP;12325232;1;4;30;5;5;5;4;5;0;5;3;1;5;2;2;4;5;4;4;1;1;1;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1
42;1;16;0;1;13500;0;1;1;1;2;0;SP;35738;5;3;15;5;2;5;5;5;0;5;5;2;3;4;2;4;5;5;5;2;2;2;1;1;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0
27;1;16;1;0;4500;1;0;1;0;4;0;MS;906092;4;4;30;5;5;4;2;1;0;5;3;2;4;2;1;4;5;5;5;3;2;2;1;1;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0
36;1;16;0;0;2500;1;0;1;0;2;1;PR;575377;1;4;15;2;4;5;5;5;0;4;4;3;5;2;2;4;4;4;5;3;2;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
33;1;16;0;1;4500;1;0;0;1;2;1;MG;13684;2;4;3;5;4;5;5;5;0;4;2;1;2;2;1;5;5;5;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;0;16;0;1;41250;0;1;0;2;4;1;PE;1653461;4;3;30;4;4;5;5;1;1;4;3;1;4;3;2;4;4;1;3;2;2;1;0;0;0;0;0;1;3;0;0;0;1;0;1;0;0;1;0
23;1;14;1;1;4500;0;1;1;0;3;1;PR;1948626;3;5;3;5;1;4;4;3;0;2;4;3;4;4;2;3;4;3;3;4;2;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
63;1;17;0;0;4500;1;1;0;0;3;0;PE;1653461;4;4;7;5;4;5;5;3;0;4;3;4;2;2;3;4;4;3;1;2;2;1;0;1;0;0;0;0;4;1;0;1;0;0;1;0;0;0;1
38;1;14;0;1;2500;1;1;0;2;2;1;MG;2521564;4;4;7;5;4;5;4;4;0;4;4;4;4;2;3;4;4;5;5;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;1;11;0;0;1500;1;1;4;2;2;0;SP;12325232;4;3;5;5;5;5;5;5;0;5;3;4;4;3;3;4;5;5;4;2;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;1;22;0;1;10000;0;1;0;0;4;0;PE;1653461;4;4;7;4;4;4;3;4;1;4;4;3;4;2;2;4;4;5;5;2;2;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
63;1;17;1;1;4500;1;1;0;0;1;1;SP;322750;2;4;3;2;2;5;5;3;0;5;5;5;4;1;3;5;5;5;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;1;22;0;1;27500;0;0;2;0;2;0;SP;12325232;4;4;7;2;2;4;2;2;1;4;4;5;4;4;4;4;4;5;2;3;2;2;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
42;1;17;0;1;6500;1;1;3;1;2;1;RJ;6747815;4;4;15;5;5;5;5;5;0;5;4;2;2;3;2;4;5;5;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;14;1;0;19000;0;0;0;0;1;0;SP;711825;4;4;15;2;1;5;4;5;0;5;5;3;4;4;3;3;5;5;5;2;2;2;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
53;1;16;0;1;8000;1;1;1;2;4;1;SP;12325232;5;4;3;4;4;5;5;4;0;4;2;1;3;2;3;5;4;4;4;1;1;1;0;1;0;0;0;0;3;0;0;1;1;0;1;0;0;0;0
67;0;16;0;1;6500;1;1;0;0;2;1;RS;256302;4;4;7;2;2;4;5;5;0;4;4;2;2;2;2;3;3;3;3;5;2;3;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
55;1;22;0;1;8000;1;1;0;0;2;0;RS;1488252;4;3;7;4;4;4;5;4;0;5;4;4;3;2;1;4;5;5;4;2;2;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
70;0;16;0;0;4500;1;1;0;0;2;1;SC;508826;5;3;7;3;1;5;3;1;0;4;4;2;3;3;3;4;4;4;3;3;3;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;1;17;0;0;10000;1;1;0;0;2;1;RS;39314;4;4;7;3;4;5;5;5;0;5;5;2;3;2;2;4;5;5;5;2;2;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
29;1;20;1;0;4500;1;0;0;0;4;1;PE;354317;4;4;5;2;3;5;4;2;0;5;4;2;3;2;2;5;2;4;3;2;2;1;0;1;0;0;0;0;3;1;0;1;0;1;0;0;0;0;0
66;1;16;0;0;4500;1;1;0;0;2;1;SC;508826;4;3;7;3;2;5;5;5;0;5;3;3;3;2;3;4;5;5;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;1;16;0;1;13500;0;1;0;0;2;0;SC;508826;4;3;15;5;2;5;4;1;0;5;5;4;3;4;3;5;5;5;4;3;2;2;1;1;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0
30;0;12;1;0;1500;0;0;0;0;4;1;PE;706867;4;4;45;5;2;5;5;5;0;4;3;3;2;2;2;4;5;5;4;3;3;1;0;1;0;0;0;0;4;0;1;0;1;0;1;0;0;1;0
28;1;17;1;1;2500;0;0;0;0;1;1;PE;1653461;4;4;30;4;4;4;5;2;0;3;4;5;5;3;3;3;3;3;3;4;3;3;1;1;1;0;0;0;6;1;1;1;0;0;1;1;0;0;1
35;0;18;0;1;13500;1;1;0;0;4;1;PE;1653461;4;4;15;5;2;2;4;2;0;4;4;4;4;2;4;4;4;3;2;3;2;1;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1
20;1;14;1;1;2500;1;1;0;1;3;1;PE;334376;3;4;30;5;2;4;4;3;0;3;3;4;4;2;2;4;3;4;3;2;2;2;1;1;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0
19;1;14;1;0;4500;0;1;0;1;3;1;PE;1653461;2;2;15;2;1;5;3;3;0;4;2;5;4;3;2;4;3;2;1;2;2;2;0;1;1;0;0;0;2;0;0;1;0;0;0;0;0;0;1
22;0;14;1;0;4500;1;1;0;0;4;1;PE;84395;4;4;7;5;2;5;4;1;0;4;2;3;5;3;3;4;5;5;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;0;22;0;1;13500;1;1;0;0;1;1;PE;158899;4;4;5;5;5;4;4;4;0;5;5;2;3;3;2;5;5;4;1;2;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
39;1;18;0;1;13500;0;1;2;0;2;0;PE;1653461;4;2;30;5;2;5;3;1;0;5;5;5;3;2;2;4;4;4;4;2;2;1;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1
29;0;14;1;0;10000;0;1;0;0;2;0;PE;1653461;4;3;30;3;3;5;5;2;0;5;3;3;4;2;2;5;5;5;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;1;14;1;1;8000;1;1;0;0;4;0;PE;56933;3;3;45;4;1;4;5;3;0;5;4;5;2;2;2;4;5;5;4;2;1;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
30;1;20;1;1;8000;1;0;0;0;3;1;PE;1653461;4;4;15;3;4;4;4;3;1;5;5;3;4;2;3;4;3;5;3;3;3;3;1;1;1;0;0;0;2;1;0;0;0;0;1;0;0;0;0
36;1;16;1;1;2500;0;0;0;0;1;1;PE;1653461;5;3;30;4;2;5;3;1;0;4;4;5;2;2;2;4;4;4;4;3;2;3;1;1;1;0;0;0;4;0;1;0;1;0;1;0;0;1;0
47;1;16;0;1;8000;0;1;2;0;2;0;SE;664908;2;4;30;5;1;5;5;2;0;5;5;2;1;3;3;4;5;5;3;2;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
32;1;18;0;1;10000;1;0;0;0;2;1;PE;1653461;4;4;7;5;5;4;4;2;0;5;5;2;3;3;3;4;5;5;5;2;2;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
28;0;20;1;1;6500;0;1;0;0;2;0;PE;1653461;5;4;7;3;4;4;5;5;0;5;5;5;1;2;3;5;5;5;5;2;2;2;1;1;0;0;0;0;3;1;0;0;0;0;1;0;0;1;0
30;1;16;1;1;1500;1;0;0;0;1;1;PE;1653461;4;4;15;5;5;4;5;5;0;5;5;5;3;2;2;4;5;4;4;2;2;2;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0
44;0;17;0;1;27500;0;1;0;2;2;0;DF;3055149;3;4;7;5;4;2;2;1;0;4;4;1;5;4;4;3;2;2;2;4;3;2;1;0;0;0;0;1;3;1;0;1;1;0;0;0;0;0;0
