IBGE;MUNIC;NHB2114;NHB2115;NHB2116;NHB2117;NHB2118;NHB2119;NHB2120;NHB2121;NHB2122;NHB2123;NHB2124;NHB2214;NHB2215;NHB2216;NHB2217;NHB2218;NHB2219;NHB2220;NHB2221;NHB2222;NHB2223;NHB2224;NHB2314;NHB2315;NHB2316;NHB2317;NHB2318;NHB2319;NHB2320;NHB2321;NHB2322
1100130;Machadinho D'Oeste;27,98;27,92;27,59;28,40;30,02;31,70;34,12;34,38;35,43;34,25;33,63;14,30;8,35;5,38;4,15;3,12;2,37;2,21;2,14;1,74;1,41;1,44;32,91;34,67;26,11;34,24;34,48;33,71;27,54;31,47;51,37
1100148;Nova Brasilândia D'Oeste;21,14;22,48;24,15;24,24;24,45;25,46;25,86;26,12;27,49;29,32;30,00;9,52;4,53;2,47;3,30;2,95;2,77;2,68;2,46;2,20;3,69;4,09;31,61;36,82;31,57;37,51;40,94;41,39;37,00;33,95;0,88
1100155;Ouro Preto do Oeste;37,11;41,08;45,83;48,56;53,08;55,86;57,95;57,41;56,02;56,69;55,77;25,69;23,63;18,69;18,18;14,65;11,36;9,32;9,09;7,42;6,26;5,24;54,17;57,97;52,52;61,46;68,98;70,70;66,99;74,30;77,92
1100189;Pimenta Bueno;64,50;66,09;66,90;67,73;69,67;72,21;73,45;74,36;75,23;75,87;76,48;29,66;12,04;6,74;5,63;4,14;3,32;3,08;2,94;2,76;3,09;3,09;76,76;81,23;73,77;79,10;87,50;86,97;86,98;86,98;92,89
1100205;Porto Velho;27,91;29,93;31,64;31,96;33,39;34,82;35,46;37,00;38,71;38,49;37,61;57,84;57,84;54,48;48,17;45,52;43,25;42,48;43,65;44,77;45,07;43,89;31,43;33,96;33,05;31,78;35,26;33,76;32,87;26,05;41,79
1100254;Presidente Médici;30,52;32,22;34,46;37,71;41,61;42,92;44,99;46,10;46,64;47,95;47,80;33,19;21,78;14,51;26,96;40,40;34,93;32,66;28,69;27,28;28,63;31,66;42,92;52,14;44,31;52,13;62,78;59,60;63,85;59,60;57,56
1100262;Rio Crespo;7,65;6,90;5,44;5,47;5,74;5,15;4,75;5,16;5,65;6,98;8,52;43,55;34,18;29,96;35,65;44,74;65,90;79,24;72,61;46,85;32,70;24,72;12,02;14,96;12,74;16,71;17,54;17,35;13,75;16,78;20,11
1100288;Rolim de Moura;48,95;50,69;53,90;55,98;58,62;61,17;62,32;63,03;64,07;65,40;66,22;9,14;8,63;11,60;19,07;25,17;26,45;28,22;27,57;26,74;26,10;26,56;56,95;66,12;58,98;100,00;70,75;75,07;81,80;81,80;82,92
1100296;Santa Luzia D'Oeste;19,11;21,75;25,57;28,51;30,63;31,79;33,64;34,86;36,31;36,79;37,36;7,02;2,62;0,43;0,17;0,16;3,57;3,22;2,85;2,36;3,73;6,75;27,58;31,94;33,41;40,22;50,33;50,92;51,38;50,93;41,95
1100304;Vilhena;94,14;95,04;95,40;95,11;96,30;96,75;96,82;96,57;95,83;95,75;94,99;17,20;22,87;22,92;24,45;16,25;10,75;8,77;6,86;5,39;4,48;3,98;97,94;96,98;95,49;96,26;100,00;100,00;100,00;95,65;99,76
1100320;São Miguel do Guaporé;3,85;3,83;5,08;4,99;4,12;3,88;4,53;5,34;5,28;6,09;7,38;5,81;3,37;1,82;2,57;1,93;1,72;1,54;1,27;1,80;1,67;1,65;10,64;14,18;13,97;16,31;17,21;18,72;19,17;22,41;26,45
1100338;Nova Mamoré;4,88;4,99;4,79;4,61;4,14;4,29;4,64;5,18;6,01;6,87;6,98;24,07;24,59;23,55;21,10;16,73;22,09;22,36;18,27;23,72;27,43;32,12;8,37;9,87;7,90;9,66;9,69;10,13;8,92;11,10;14,97
1100346;Alvorada D'Oeste;48,62;47,57;48,26;50,16;51,96;53,80;54,02;54,92;55,13;55,47;54,78;60,70;58,04;57,15;63,74;72,01;76,80;78,19;80,33;83,14;85,29;86,83;52,33;53,11;53,90;53,84;61,19;63,83;60,48;56,05;52,26
1100379;Alto Alegre dos Parecis;4,23;4,03;5,40;8,36;11,47;13,72;14,85;15,18;17,71;18,73;21,14;12,19;9,47;6,52;4,12;2,90;2,33;1,76;1,76;1,83;1,49;1,50;;;29,47;29,36;;19,96;23,28;23,20;27,21
1100403;Alto Paraíso;3,36;3,61;3,77;3,50;3,53;4,13;3,93;4,41;4,39;5,21;5,50;53,07;43,49;26,58;14,62;4,20;1,42;0,98;0,89;0,88;0,99;0,82;7,37;7,22;5,99;6,66;6,66;6,86;6,37;6,30;12,41
