IBGE;MUNIC;METRO;CAPITAL;VAB21;PIB21;PIBPC21;ATV;POP21;ARREC23;IPSAMZ23;NHB;FBE;OP;NHB1;NHB2;NHB3;NHB4;FBE1;FBE2;FBE3;FBE4;OP1;OP2;OP3;OP4;NHB11;NHB12;NHB13;NHB14;NHB15;NHB21;NHB22;NHB23;NHB31;NHB32;NHB33;NHB34;NHB41A;NHB41B;NHB42A;NHB42B;NHB43;FBE11;FBE12;FBE13;FBE14;FBE15;FBE21;FBE22;FBE23;FBE24;FBE31;FBE32;FBE33;FBE34;FBE35;FBE41;FBE42;FBE43;FBE44;FBE45;OP11;OP12;OP13;OP14;OP21;OP22;OP23;OP24;OP31;OP31B;OP32;OP33A;OP33B;OP41;OP42
1506583;Santa Maria das Barreiras;0;0;1032550,09;1072244,49;48203,76;EXT;22244;22125456,23;50,12;57,86;51,9;40,6;87,42;20,94;74,85;48,24;49,43;12,18;90,6;55,37;29,21;44,07;81,34;7,79;17,62;440,53;4,58;4,58;6,34;45,15;38,88;7,63;41,27;71,87;91,03;87,87;35,82;5;36,61;5;27,46;9;26,1;62,4;3,35;0,9;16,85;0,29;11,5;14,95;4,58;32,04;82,38;18,31;4,58;0,16;58,33;0,87;124,88;32,86;45,45;2,88;8;0;3;26,43;22,24;26,43;0;1;19,72;94,2;3;12,27;7,82
1506609;Santa Maria do Pará;0;0;342377,08;371642,16;14790,55;ADM;25127;21925325,83;51,83;62,32;48,92;44,25;87,7;40,21;79,67;41,72;49,25;14,89;79,88;51,65;30,12;49,04;91,51;6,33;14,81;0;24;1,66;4,48;80,84;47,72;40,62;69,79;82,76;82,02;81,69;61,41;6;24;5;36,01;7,4;28,9;52;3,95;10,9;5,44;0,84;103,3;0,33;56,01;64,01;116,02;72,01;4;0;91,12;0,02;4,46;0,76;72,73;4,04;6;0;2;20,49;8,78;22,47;0;1;0;36,8;2;9,63;6,57
1506708;Santana do Araguaia;0;0;1203723,48;1381971,63;18185,03;ADM;75995;63338925,2;47,07;58,98;50,04;32,18;87,26;14,18;87,25;47,23;46,02;7,81;92,01;54,32;25,95;24,24;73,96;4,56;27,49;69,93;9,41;1,34;5,69;18,37;1,51;12,76;83,32;76,75;95,09;93,64;25,35;5;26,87;5;33,59;9,8;32,7;46,9;3,45;7,7;5,82;0,3;35,39;5,83;16,12;18,81;40,31;18,81;2,69;0;63,48;1,24;46,39;7,25;46,67;1,1;7;0;1;26,98;70,19;20,1;119,05;5;13,98;5,23;2;7,5;4,38
1506807;Santarém;1;0;5523564,5;6390528,31;20725,66;SERV;308339;745058868,8;56,92;69,39;64,08;37,28;87,91;51,03;84,28;54,35;79,22;21,07;82,24;73,8;27,97;68,21;40,91;12,03;19,45;229,71;13,05;0,33;5,48;55,9;71,73;50,61;78,03;82,06;89,61;86,11;31,63;5;15,66;4;31;0,6;13,5;29;5,1;0,8;6,55;2,55;133,66;1,4;28,06;83,53;111,92;62,65;6,85;28,66;17,84;2,75;7,73;1,61;61,9;3,76;6;0;6;17,69;1,85;23,49;24,43;5;203,34;189,89;4;19,18;11,95
1506906;Santarém Novo;0;0;58587,31;60065,43;8838,35;ADM;6796;1256209,07;54,17;66,6;55,24;40,68;78,44;64,13;74,03;49,81;66,96;7,32;86,54;60,14;27,12;50,83;83,01;1,77;38,96;0;44,72;3;4,78;82,67;9,59;45,65;86,42;75,38;65,51;71,61;21,26;5;29,62;5;17,89;0,5;20,7;43,6;4,65;7,7;3,31;0,3;46,79;2,61;29,62;29,62;59,23;29,62;14,81;12,7;66,03;0,2;9,33;1,32;55,56;3,85;3;5;3;24,68;1,01;29,87;0;1;0;72,27;3;2,8;1,77
1507003;Santo Antônio do Tauá;0;0;438766,19;475569,11;14702,56;ADM;32346;31462889,7;53,64;66;51,64;43,29;91,02;47,59;81,87;43,51;59,43;10,11;79,38;57,65;23,14;47,82;90,98;11,2;8,42;45,05;6,27;1,32;6,07;69,01;77,78;45,65;72,67;72,37;92,48;88,45;46,84;6;28,2;5;25,06;4,9;23,3;45,8;4;4,8;4,31;0,41;62,36;7,61;47;62,66;112,79;87,72;6,27;0;61,59;0,26;6,91;0,15;72,73;4,35;3;0;2;23,16;1,64;40,84;0;1;6,21;12,13;2;17,9;11,1
1507102;São Caetano de Odivelas;0;0;177851,57;183191,18;10061,58;ADM;18207;14684187,93;54,1;65,75;56,7;39,85;82,22;43,74;81,23;55,82;64,2;8,4;82,33;71,88;30,82;40,45;82,63;5,5;29,79;425,53;27,58;1,15;5,48;83,94;4,81;23,44;65,31;77,13;92,55;86,53;21,13;5;16,55;4;22,06;2,5;27,5;48,7;4,6;2,3;3,16;0,24;56,06;5,4;22,06;55,16;154,45;66,19;11,03;41,33;50,57;0,62;4,68;0,49;54,55;1,43;4;7;1;25,96;5,28;47,66;0;1;4,56;45,57;3;13,4;2,58
1507151;São Domingos do Araguaia;0;0;336536,21;359021,28;13837,78;ADM;25945;17570197,2;50,75;69,31;50,09;32,84;88,82;36,69;90,36;61,37;60,81;9,18;79,33;51,03;12,79;44,77;65,99;7,82;15,63;0;15,53;0;5,51;77,54;49,36;65,95;77,37;95,23;94,15;91,37;14,97;4;11,65;4;19,42;6,4;24;43,3;4;0,4;2,83;0,33;68,79;0,25;54,36;93,19;132,02;38,83;3,88;0,93;93,09;0,35;23,21;1,16;36,36;2,21;2;0;2;26,25;5,22;26,25;238,1;5;7,89;72,48;3;12,18;7,94
1507201;São Domingos do Capim;0;0;428782,39;438410,28;13579,38;AGR;32285;23061030,94;46,21;55,1;45,95;37,58;89,1;27,95;51,11;52,24;38,22;5,97;85,99;53,63;20,55;45,92;74,13;9,73;12,3;204,92;9,33;6,22;4,77;41,76;28,98;54,62;41,25;55,7;50,28;54,83;22,5;5;28;5;3,11;5;39,4;57,5;3,25;19,4;0,37;0,1;46,84;8,19;31,11;40,45;146,24;37,34;6,22;0;80,69;0,31;10,62;5,61;55,56;1,34;4;0;2;25,41;2,7;32,17;0;1;104,73;122,93;3;15,21;9,85
1507300;São Félix do Xingu;0;0;1888738,64;2009122,07;14802,13;PEC;135732;58463448,64;52,56;57,18;56,78;43,72;88,06;18,97;71,18;50,51;55,16;4,94;93,67;73,34;34,87;48,68;86,25;5,08;24,14;92,85;7,57;1,56;5,75;14,34;5,76;1,74;57,13;59,69;82,52;83,07;36,88;5;30,27;5;13,62;6,1;29;46,3;3,45;1,8;3,48;0,15;26,09;1,23;6,81;13,62;58,27;10,59;1,51;59,42;24,95;8,19;224,9;41,27;66,67;0,51;5;7;3;27,21;2,15;20,8;2,56;2;13,74;26,41;2;7,51;5,41
