IBGE;MUNIC;OP3114;OP3115;OP3116;OP3117;OP3118;OP3119;OP3120;OP3121;OP3122;OP3123;OP3214;OP3215;OP3216;OP3217;OP3218;OP3219;OP3220;OP3221;OP3222;OP3223;OP33A14;OP33A15;OP33A16;OP33A17;OP33A18;OP33A19;OP33A20;OP33A21;OP33A22;OP33A23
5105622;Mirassol d'Oeste;0;0;0;0;0;0;0;0;0;0;0;0;0;29,83;7,46;29,83;14,91;14,91;111,86;126,77;0;0;0;53,36;17,79;17,79;0;0;17,79;17,79
5105903;Nobres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,18;0;0;0;0;0;0;0;0;0;0
5106000;Nortelândia;0;0;0;0;0;0;0;0;0;0;34,08;0;0;0;0;0;0;0;34,08;0;0;0;0;0;0;0;0;0;81,63;0
5106109;Nossa Senhora do Livramento;0;0;0;0;0;0;0;0;0;0;0;32,55;0;97,64;32,55;32,55;65,09;32,55;32,55;227,83;0;0;0;0;0;111,15;37,05;0;37,05;111,15
5106158;Nova Bandeirantes;0;0;0;0;0;303,03;0;0;0;0;32,08;32,08;96,25;160,41;48,12;48,12;64,16;144,37;16,04;176,45;0;0;32,86;98,59;65,72;32,86;0;32,86;0;197,17
5106174;Nova Nazaré;0;0;0;0;0;0;0;5,8;0;0;0;0;0;0;0;96,81;145,21;96,81;48,4;48,4;0;0;0;0;0;0;0;71,48;0;0
5106182;Nova Lacerda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63,41;95,12;0;0;0;0;0;0;0;0;0;0
5106190;Nova Santa Helena;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48,78;195,12;146,34;97,56;97,56;243,9;0;0;0;0;0;97,28;0;0;0;0
5106208;Nova Brasilândia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159,74;0;0;0;0;0;0;0;0;0;0
5106216;Nova Canaã do Norte;0;0;0;0;0;0;0;0;0;0;53,32;0;0;0;17,77;17,77;17,77;0;0;0;0;0;0;0;0;0;0;0;0;0
5106224;Nova Mutum;0;0;0;0;208,33;208,33;0;0;0;0;51;295,08;214,94;32,79;389,8;484,52;440,8;364,3;397,09;349,73;28,67;222,19;78,84;0;329,7;250,86;136,18;193,52;179,19;107,51
